event_id,expected_answer_date,meeting_date,approved_date,name,party,mp_area,item_text,flag,topic_area,action,notes,phs_relevant,allocated_status
S6W-24249,2024-01-17T00:00:00Z,,2024-01-03T16:28:32Z,Pam Duncan-Glancy,Scottish Labour,Glasgow,"To ask the Scottish Government when it anticipates that it will update local authorities on its expectations regarding the use of the £900,000 allocated for training for staff to tackle post-COVID-19 pandemic challenges in schools.",TRUE,,,,No,unallocated
S6W-24303,2024-01-17T00:00:00Z,,2024-01-03T16:28:32Z,Donald Cameron,Scottish Conservative and Unionist Party,Highlands and Islands,To ask the Scottish Government whether it will confirm all costs associated with the launch event for the Scottish Affairs Office in Dublin.,FALSE,,,,No,unallocated
S6W-24277,2024-01-17T00:00:00Z,,2024-01-03T16:28:32Z,Donald Cameron,Scottish Conservative and Unionist Party,Highlands and Islands,"To ask the Scottish Government whether it has plans to develop an inventory of living heritage, and, if so, whether it will provide details of this.",FALSE,,,,No,unallocated
S6W-24298,2024-01-17T00:00:00Z,,2024-01-03T16:28:32Z,Donald Cameron,Scottish Conservative and Unionist Party,Highlands and Islands,To ask the Scottish Government whether it will confirm all costs associated with the launch event for the Scottish Affairs Office in Canada.,FALSE,,,,No,unallocated
S6W-24304,2024-01-17T00:00:00Z,,2024-01-03T16:28:32Z,Donald Cameron,Scottish Conservative and Unionist Party,Highlands and Islands,To ask the Scottish Government whether it will confirm all costs associated with the launch event for the Scottish Affairs Office in Berlin.,FALSE,,,,No,unallocated
S6W-24280,2024-01-17T00:00:00Z,,2024-01-03T16:28:32Z,Donald Cameron,Scottish Conservative and Unionist Party,Highlands and Islands,To ask the Scottish Government whether it has conducted any analysis on how its proposed increase in rail fares for 2024-25 will potentially impact on the number of rail journeys in the Highlands and Islands region.,FALSE,,,,No,unallocated
S6W-24281,2024-01-17T00:00:00Z,,2024-01-03T16:28:32Z,Donald Cameron,Scottish Conservative and Unionist Party,Highlands and Islands,To ask the Scottish Government whether it has conducted any analysis on whether its proposed increase in rail fares for 2024-25 could potentially lead to an increase in road traffic numbers in the Highlands and Islands region.,FALSE,,,,No,unallocated
S6W-24285,2024-01-17T00:00:00Z,,2024-01-03T16:28:33Z,Donald Cameron,Scottish Conservative and Unionist Party,Highlands and Islands,"To ask the Scottish Government what the median number of days that a household spent in temporary accommodation in 2023 is, broken down by (a) household type and (b) local authority area.",FALSE,,,,No,unallocated
S6W-24279,2024-01-17T00:00:00Z,,2024-01-03T16:28:33Z,Donald Cameron,Scottish Conservative and Unionist Party,Highlands and Islands,To ask the Scottish Government in what ways (a) Historic Environment Scotland and (b) Creative Scotland supports community organisations with heritage safeguarding.,FALSE,,,,No,unallocated
S6W-24287,2024-01-17T00:00:00Z,,2024-01-03T16:28:33Z,Donald Cameron,Scottish Conservative and Unionist Party,Highlands and Islands,"To ask the Scottish Government whether it can provide details of how it ensures (a) cultural, (b) arts and (c) heritage organisations that are in receipt of grant funding abide by Intangible Cultural Heritage principles.",FALSE,,,,No,unallocated
S6W-24278,2024-01-17T00:00:00Z,,2024-01-03T16:28:33Z,Donald Cameron,Scottish Conservative and Unionist Party,Highlands and Islands,To ask the Scottish Government what support it can provide to ensure that Gaelic living heritage can be safeguarded in Gaelic communities in the Highlands and Islands region.,FALSE,,,,No,unallocated
S6W-24297,2024-01-17T00:00:00Z,,2024-01-03T16:28:33Z,Donald Cameron,Scottish Conservative and Unionist Party,Highlands and Islands,To ask the Scottish Government whether it will confirm all costs associated with the launch event for the Scottish Affairs Office in the USA.,FALSE,,,,No,unallocated
S6W-24274,2024-01-17T00:00:00Z,,2024-01-03T16:28:33Z,Donald Cameron,Scottish Conservative and Unionist Party,Highlands and Islands,"To ask the Scottish Government whether it put forward any sites for nomination for UNESCO World Heritage Site status assessment in 2023, and, if so, whether it can provide details of the nominations.",FALSE,,,,No,unallocated
S6W-24258,2024-01-17T00:00:00Z,,2024-01-03T16:28:33Z,Monica Lennon,Scottish Labour,Central Scotland,"To ask the Scottish Government what its response is to the findings of a recent survey published by Construction Industry Collective Voice (CICV) that 33% of CICV members in Scotland had to write off disputed sums either “often” or “very often”, and that 48% reported that the relevant amounts written off ranged from £10,001 to £100,000.",FALSE,,,,No,unallocated
S6W-23911,2024-01-17T00:00:00Z,,2024-01-03T16:28:33Z,Graham Simpson,Scottish Conservative and Unionist Party,Central Scotland,"To ask the Scottish Government, in light of the paper, The governance of smart mobility, outlining concerns regarding unregulated commercial shared-mobility transport services, what legislation it is considering to mitigate the externalised costs described in the paper.",FALSE,,,,No,unallocated
S6W-24300,2024-01-17T00:00:00Z,,2024-01-03T16:28:33Z,Donald Cameron,Scottish Conservative and Unionist Party,Highlands and Islands,To ask the Scottish Government whether it will confirm all costs associated with the launch event for the Scottish Affairs Office in Copenhagen.,FALSE,,,,No,unallocated
S6W-24302,2024-01-17T00:00:00Z,,2024-01-03T16:28:33Z,Donald Cameron,Scottish Conservative and Unionist Party,Highlands and Islands,To ask the Scottish Government whether it will confirm all costs associated with the launch event for Scotland House in London.,FALSE,,,,No,unallocated
