event_id,expected_answer_date,meeting_date,approved_date,name,party,mp_area,item_text,flag,topic_area,action,notes
S6W-27135,2024-05-15T00:00:00Z,NA,2024-04-30T16:43:09Z,Paul Sweeney,Scottish Labour,Glasgow,To ask the Scottish Government what steps it is taking to address any inequalities in access to mental health services in rural areas.,TRUE,,,
S6W-27133,2024-05-15T00:00:00Z,NA,2024-04-30T16:43:09Z,Paul Sweeney,Scottish Labour,Glasgow,"To ask the Scottish Government whether any (a) existing and (b) new claimants of the Adult Disability Payment will be affected by the UK Government's proposed reforms to the Personal Independence Payment (PIP), in light of reports that some people with mental health conditions such as depression and anxiety could be disadvantaged regarding financial support in some cases.",TRUE,,,
S6W-27128,2024-05-15T00:00:00Z,NA,2024-04-30T16:43:09Z,Roz McCall,Scottish Conservative and Unionist Party,Mid Scotland and Fife,To ask the Scottish Government what progress has been made regarding its commitment in the Stroke Improvement Plan 2023 to “support Scottish Ambulance Service in exploring the feasibility of using video call technology to more accurately diagnose hyperacute stroke”.,TRUE,,,
S6W-27126,2024-05-15T00:00:00Z,NA,2024-04-30T16:43:09Z,Monica Lennon,Scottish Labour,Central Scotland,"To ask the Scottish Government, further to the answer to question S6O-03153 by Màiri McAllan on 6 March 2024, whether it will provide an update on its review, due to be published in spring 2024, of how to increase the number of co-operatives, social enterprises and employee-owned businesses as part of the move to a wellbeing economy.",TRUE,,,"S6O-03153: To ask the Scottish Government whether it will provide an update on its review of how to increase the number of co-operatives, social enterprises and employee-owned businesses, as part of the move to a wellbeing economy."
S6W-27137,2024-05-15T00:00:00Z,NA,2024-04-30T16:43:09Z,Jamie Greene,Scottish Conservative and Unionist Party,West Scotland,"To ask the Scottish Government what plans are in place to expand the provision of the reported new digital chronic obstructive pulmonary disease (COPD) diagnosis service, developed by NHS Greater Glasgow and Clyde, to other NHS boards.",TRUE,,,
S6W-27138,2024-05-15T00:00:00Z,NA,2024-04-30T16:43:10Z,Jamie Greene,Scottish Conservative and Unionist Party,West Scotland,"To ask the Scottish Government what its response is to reported comments by Sheriff James McDonald that Scotland’s legal system has gone ""soft on drug offenders"".",TRUE,,,
S6W-27140,2024-05-15T00:00:00Z,NA,2024-04-30T16:43:10Z,Elena Whitham,Scottish National Party,"Carrick, Cumnock and Doon Valley","To ask the Scottish Government whether it will provide an update on any options that it is considering for restricting the advertising and promotion of alcohol and alcohol-branded products, following the consultation on restricting alcohol advertising and promotion, which was carried out between November 2022 and March 2023.",TRUE,,,
S6W-27134,2024-05-15T00:00:00Z,NA,2024-04-30T16:43:10Z,Paul Sweeney,Scottish Labour,Glasgow,"To ask the Scottish Government what its response is to the Change Mental Health report, The Rural Divide: The Realities of Mental Healthcare for Children and Young People in Rural Scotland, on mental health services in rural areas.",TRUE,,,
S6W-27180,2024-05-16T00:00:00Z,NA,2024-05-01T09:34:31Z,Stuart McMillan,Scottish National Party,Greenock and Inverclyde,To ask the Scottish Government whether it will provide an update on the evaluation of the operation of the UEFA European Championship (Scotland) Act 2020 in practice.,TRUE,,,
S6O-03397,NA,2024-05-08T00:00:00Z,2024-05-01T14:30:41Z,Sue Webber,Scottish Conservative and Unionist Party,Lothian,To ask the Scottish Government what action it is taking to support NHS Lothian in reducing the CAMHS waiting lists across the region.,TRUE,,,
S6O-03403,NA,2024-05-08T00:00:00Z,2024-05-01T14:30:41Z,Alexander Stewart,Scottish Conservative and Unionist Party,Mid Scotland and Fife,To ask the Scottish Government what steps it is taking to ensure good dental care provision for older people in care settings.,TRUE,,,
S6O-03396,NA,2024-05-08T00:00:00Z,2024-05-01T14:30:43Z,Jackie Baillie,Scottish Labour,Dumbarton,"To ask the Scottish Government what value it places on specialist alcohol services, such as the Primary Care Alcohol Nurse Outreach Service in Glasgow, in dealing with the reported public health crisis in relation to alcohol.",TRUE,,,
S6O-03406,NA,2024-05-09T00:00:00Z,2024-05-01T14:30:43Z,Rona Mackay,Scottish National Party,Strathkelvin and Bearsden,"To ask the Scottish Government, regarding any potential impact on devolved benefits in Scotland, what representation it plans to make to the UK Government regarding its proposed changes to welfare benefits for people with mental health issues.",TRUE,,,
S6O-03401,NA,2024-05-08T00:00:00Z,2024-05-01T14:30:43Z,Alasdair Allan,Scottish National Party,Na h-Eileanan an Iar,To ask the Scottish Government whether it will provide an update on how the NHS supports the health of rural and islands communities through regular visits from consultants.,TRUE,,,
S6O-03402,NA,2024-05-08T00:00:00Z,2024-05-01T14:30:44Z,Pam Duncan-Glancy,Scottish Labour,Glasgow,To ask the Scottish Government whether it will provide an update on what measures it is putting in place to reduce waiting times for access to CAMHS.,TRUE,,,
S6O-03400,NA,2024-05-08T00:00:00Z,2024-05-01T14:30:44Z,Elena Whitham,Scottish National Party,"Carrick, Cumnock and Doon Valley",To ask the Scottish Government what support it is providing to NHS Ayrshire and Arran to improve access to ADHD testing for adults.,TRUE,,,
S6O-03413,NA,2024-05-09T00:00:00Z,2024-05-01T14:30:53Z,Ruth Maguire,Scottish National Party,Cunninghame South,To ask the Scottish Government how a public health approach to justice can reduce crime and make communities safer.,TRUE,,,
S6W-27177,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:45Z,Carol Mochan,Scottish Labour,South Scotland,To ask the Scottish Government what its position is on whether the First Minister's priority of prevention in health is being delivered.,TRUE,,,
S6W-27190,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:45Z,Carol Mochan,Scottish Labour,South Scotland,"To ask the Scottish Government when it will set out a timeline for how any issues regarding understaffing of nurses as a result of the common staffing method will be resolved, as raised by the Royal College of Nursing Scotland.",TRUE,,,
S6W-27179,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:46Z,Carol Mochan,Scottish Labour,South Scotland,"To ask the Scottish Government what consideration it has given to imposing limitations on any reductions to allied health professional (AHP) budgets by NHS boards, in light of its priority of preventative healthcare.",TRUE,,,
S6W-27188,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:46Z,Carol Mochan,Scottish Labour,South Scotland,To ask the Scottish Government what plans it has to introduce a long-term public campaign to attract people into nursing.,TRUE,,,
S6W-27144,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:46Z,Jackie Baillie,Scottish Labour,Dumbarton,"To ask the Scottish Government what assessment it has made regarding any reasons for the reported failure of NHS Scotland's usual cyber security defences, which allowed medical information about patients to be accessed.",TRUE,,,
S6W-27187,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:47Z,Ross Greer,Scottish Green Party,West Scotland,"To ask the Scottish Government whether it will provide an update on how it will explore the reintroduction of a public health supplement for large retailers, as announced in its 2024-25 Budget.",TRUE,,,
S6W-27170,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:47Z,Michael Matheson,Scottish National Party,Falkirk West,"To ask the Scottish Government what progress has been made in building the evidence base and support for international cooperation on the development of infrastructure, transport routes and international supply chains in relation to hydrogen projects, as set out in its Hydrogen Action Plan.",TRUE,,,
S6W-27146,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:47Z,Jackie Baillie,Scottish Labour,Dumbarton,To ask the Scottish Government how it will ensure that funding is provided to hospices to allow consistency with the NHS Agenda for Change pay awards.,TRUE,,,
S6W-27192,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:47Z,Carol Mochan,Scottish Labour,South Scotland,To ask the Scottish Government when it will deliver a cost of living increase to the student nurse bursary.,TRUE,,,
S6W-27178,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:48Z,Carol Mochan,Scottish Labour,South Scotland,"To ask the Scottish Government how much of the NHS Recovery, Health and Social Care budget in 2024-25 has been spent on prevention, and provided to allied health professionals (AHP) as those focused on prevention.",TRUE,,,
S6W-27143,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:48Z,Jackie Baillie,Scottish Labour,Dumbarton,To ask the Scottish Government how the reported cyber attacks in NHS Scotland led to medical information about patients being accessed.,TRUE,,,
