event_id,expected_answer_date,meeting_date,approved_date,name,party,mp_area,item_text,flag,topic_area,action,notes
S6W-27135,2024-05-15T00:00:00Z,NA,2024-04-30T16:43:09Z,Paul Sweeney,Scottish Labour,Glasgow,To ask the Scottish Government what steps it is taking to address any inequalities in access to mental health services in rural areas.,TRUE,mhsa,information,
S6W-27128,2024-05-15T00:00:00Z,NA,2024-04-30T16:43:09Z,Roz McCall,Scottish Conservative and Unionist Party,Mid Scotland and Fife,To ask the Scottish Government what progress has been made regarding its commitment in the Stroke Improvement Plan 2023 to 'support Scottish Ambulance Service in exploring the feasibility of using video call technology to more accurately diagnose hyperacute stroke'.,TRUE,snap,information,
S6W-27137,2024-05-15T00:00:00Z,NA,2024-04-30T16:43:09Z,Jamie Greene,Scottish Conservative and Unionist Party,West Scotland,"To ask the Scottish Government what plans are in place to expand the provision of the reported new digital chronic obstructive pulmonary disease (COPD) diagnosis service, developed by NHS Greater Glasgow and Clyde, to other NHS boards.",TRUE,quality_indicators,information,
S6W-27140,2024-05-15T00:00:00Z,NA,2024-04-30T16:43:10Z,Elena Whitham,Scottish National Party,"Carrick, Cumnock and Doon Valley","To ask the Scottish Government whether it will provide an update on any options that it is considering for restricting the advertising and promotion of alcohol and alcohol-branded products, following the consultation on restricting alcohol advertising and promotion, which was carried out between November 2022 and March 2023.",TRUE,alcohol,information,
S6W-27134,2024-05-15T00:00:00Z,NA,2024-04-30T16:43:10Z,Paul Sweeney,Scottish Labour,Glasgow,"To ask the Scottish Government what its response is to the Change Mental Health report, The Rural Divide: The Realities of Mental Healthcare for Children and Young People in Rural Scotland, on mental health services in rural areas.",TRUE,mhsa,information,
S6O-03397,NA,2024-05-08T00:00:00Z,2024-05-01T14:30:41Z,Sue Webber,Scottish Conservative and Unionist Party,Lothian,To ask the Scottish Government what action it is taking to support NHS Lothian in reducing the CAMHS waiting lists across the region.,TRUE,mhsa,information,
S6O-03403,NA,2024-05-08T00:00:00Z,2024-05-01T14:30:41Z,Alexander Stewart,Scottish Conservative and Unionist Party,Mid Scotland and Fife,To ask the Scottish Government what steps it is taking to ensure good dental care provision for older people in care settings.,TRUE,primary_care_other,information,
S6O-03396,NA,2024-05-08T00:00:00Z,2024-05-01T14:30:43Z,Jackie Baillie,Scottish Labour,Dumbarton,"To ask the Scottish Government what value it places on specialist alcohol services, such as the Primary Care Alcohol Nurse Outreach Service in Glasgow, in dealing with the reported public health crisis in relation to alcohol.",TRUE,alcohol,information,This question has also been sent to the Primary Care team for information.
S6O-03396,NA,2024-05-08T00:00:00Z,2024-05-01T14:30:43Z,Jackie Baillie,Scottish Labour,Dumbarton,"To ask the Scottish Government what value it places on specialist alcohol services, such as the Primary Care Alcohol Nurse Outreach Service in Glasgow, in dealing with the reported public health crisis in relation to alcohol.",TRUE,primary_care_gp,information,This question has also been sent to the Alcohol & Tobacco team for information.
S6O-03401,NA,2024-05-08T00:00:00Z,2024-05-01T14:30:43Z,Alasdair Allan,Scottish National Party,Na h-Eileanan an Iar,To ask the Scottish Government whether it will provide an update on how the NHS supports the health of rural and islands communities through regular visits from consultants.,TRUE,primary_care_gp,information,
S6O-03402,NA,2024-05-08T00:00:00Z,2024-05-01T14:30:44Z,Pam Duncan-Glancy,Scottish Labour,Glasgow,To ask the Scottish Government whether it will provide an update on what measures it is putting in place to reduce waiting times for access to CAMHS.,TRUE,mhsa,information,
S6O-03400,NA,2024-05-08T00:00:00Z,2024-05-01T14:30:44Z,Elena Whitham,Scottish National Party,"Carrick, Cumnock and Doon Valley",To ask the Scottish Government what support it is providing to NHS Ayrshire and Arran to improve access to ADHD testing for adults.,TRUE,mhsa,information,
S6W-27190,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:45Z,Carol Mochan,Scottish Labour,South Scotland,"To ask the Scottish Government when it will set out a timeline for how any issues regarding understaffing of nurses as a result of the common staffing method will be resolved, as raised by the Royal College of Nursing Scotland.",TRUE,nes_wf,information,
S6W-27179,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:46Z,Carol Mochan,Scottish Labour,South Scotland,"To ask the Scottish Government what consideration it has given to imposing limitations on any reductions to allied health professional (AHP) budgets by NHS boards, in light of its priority of preventative healthcare.",TRUE,nes_wf,information,
S6W-27188,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:46Z,Carol Mochan,Scottish Labour,South Scotland,To ask the Scottish Government what plans it has to introduce a long-term public campaign to attract people into nursing.,TRUE,nes_wf,information,
S6W-27187,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:47Z,Ross Greer,Scottish Green Party,West Scotland,"To ask the Scottish Government whether it will provide an update on how it will explore the reintroduction of a public health supplement for large retailers, as announced in its 2024-25 Budget.",TRUE,alcohol,information,This question has also been sent to the Drugs team.
S6W-27187,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:47Z,Ross Greer,Scottish Green Party,West Scotland,"To ask the Scottish Government whether it will provide an update on how it will explore the reintroduction of a public health supplement for large retailers, as announced in its 2024-25 Budget.",TRUE,drugs,information,This question has also been sent to the Alcohol & Tobacco team for information.
S6W-27146,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:47Z,Jackie Baillie,Scottish Labour,Dumbarton,To ask the Scottish Government how it will ensure that funding is provided to hospices to allow consistency with the NHS Agenda for Change pay awards.,TRUE,hsc,information,
S6W-27192,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:47Z,Carol Mochan,Scottish Labour,South Scotland,To ask the Scottish Government when it will deliver a cost of living increase to the student nurse bursary.,TRUE,nes_wf,information,
S6W-27178,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:48Z,Carol Mochan,Scottish Labour,South Scotland,"To ask the Scottish Government how much of the NHS Recovery, Health and Social Care budget in 2024-25 has been spent on prevention, and provided to allied health professionals (AHP) as those focused on prevention.",TRUE,nes_wf,information,
S6W-27193,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:48Z,Carol Mochan,Scottish Labour,South Scotland,To ask the Scottish Government when it will roll out the Prince of Wales Nursing Cadet Scheme across Scotland.,TRUE,nes_wf,information,
S6W-27189,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:48Z,Carol Mochan,Scottish Labour,South Scotland,"To ask the Scottish Government how many times the Nursing and Midwifery Taskforce has met since it was established, and when it plans to make any recommendations.",TRUE,nes_wf,information,
S6W-27191,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:49Z,Carol Mochan,Scottish Labour,South Scotland,To ask the Scottish Government when it will set out a plan for ensuring there is sufficient protected time for personal development plans to be completed for nurses in addition to exploring further protected time for leadership training of registered staff at all levels.,TRUE,nes_wf,information,
S6W-27123,2024-05-15T00:00:00Z,NA,2024-04-30T16:43:09Z,Monica Lennon,Scottish Labour,Central Scotland,To ask the Scottish Government whether it will provide an update on its engagement with the short-life working group involved in addressing any issues at Kilbryde Hospice.,FALSE,mhsa,information,This question has also been sent to the Health and Social Care team for information.
S6W-27123,2024-05-15T00:00:00Z,NA,2024-04-30T16:43:09Z,Monica Lennon,Scottish Labour,Central Scotland,To ask the Scottish Government whether it will provide an update on its engagement with the short-life working group involved in addressing any issues at Kilbryde Hospice.,FALSE,hsc,information,This question has also been sent to the Mental Health and Service Access team for information.
S6W-27130,2024-05-15T00:00:00Z,NA,2024-04-30T16:43:10Z,Paul Sweeney,Scottish Labour,Glasgow,"To ask the Scottish Government how much funding has been allocated to Breathing Space in the last four financial years, including 2024-25, broken down by year.",FALSE,mhsa,information,
S6O-03410,NA,2024-05-09T00:00:00Z,2024-05-01T14:30:42Z,Sharon Dowey,Scottish Conservative and Unionist Party,South Scotland,To ask the Scottish Government what steps it is taking to tackle homelessness in Ayrshire.,FALSE,hsc,information,
S6O-03398,NA,2024-05-08T00:00:00Z,2024-05-01T14:30:42Z,Tim Eagle,Scottish Conservative and Unionist Party,Highlands and Islands,To ask the Scottish Government whether it will provide an update on what steps it is taking to improve ambulance turnaround times.,FALSE,unsched,information,
S6O-03399,NA,2024-05-08T00:00:00Z,2024-05-01T14:30:43Z,James Dornan,Scottish National Party,Glasgow Cathcart,To ask the Scottish Government whether it will provide an update on the work that is underway to support people to have more choice and involvement in how their social care is delivered.,FALSE,hsc,information,
S6W-27147,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:46Z,Jackie Baillie,Scottish Labour,Dumbarton,"To ask the Scottish Government whether it will address the reported £16 million funding deficit facing the hospice sector, in light of the recent funding announcement for hospices in Wales to help maintain services and meet staffing costs.",FALSE,hsc,information,This question has also been sent to the NES Workforce team for information.
S6W-27147,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:46Z,Jackie Baillie,Scottish Labour,Dumbarton,"To ask the Scottish Government whether it will address the reported £16 million funding deficit facing the hospice sector, in light of the recent funding announcement for hospices in Wales to help maintain services and meet staffing costs.",FALSE,nes_wf,information,This question has also been sent to the Health and Social Care team for information.
S6W-27145,2024-05-16T00:00:00Z,NA,2024-05-01T17:15:48Z,Jackie Baillie,Scottish Labour,Dumbarton,To ask the Scottish Government whether it will provide an update on what progress has been made towards the new national funding framework for hospice funding.,FALSE,hsc,information,
