event_id,expected_answer_date,meeting_date,approved_date,name,party,mp_area,item_text,flag,topic_area,action,notes
S6W-24584,2024-02-01T00:00:00Z,NA,2024-01-18T16:43:01Z,Sarah Boyack,Scottish Labour,Lothian,To ask the Scottish Government what assessment it has made of any impact a freeze on capital budgets will have on the building of a new eye hospital in Edinburgh.,TRUE,primary_care_other,information,
S6W-24577,2024-02-01T00:00:00Z,NA,2024-01-18T16:43:01Z,Miles Briggs,Scottish Conservative and Unionist Party,Lothian,"To ask the Scottish Government what progress has been made in utilising the role of pharmacies in alleviating any pressure on GP practices, and what plans it has for pharmacists to have the ability to refer patients directly for blood tests.",TRUE,prescribing,information,This question has also been sent to the Primary care GP team.
S6W-24577,2024-02-01T00:00:00Z,NA,2024-01-18T16:43:01Z,Miles Briggs,Scottish Conservative and Unionist Party,Lothian,"To ask the Scottish Government what progress has been made in utilising the role of pharmacies in alleviating any pressure on GP practices, and what plans it has for pharmacists to have the ability to refer patients directly for blood tests.",TRUE,primary_care_gp,information,This question has also been sent to the Prescribing team.
S6W-24607,2024-02-01T00:00:00Z,NA,2024-01-18T16:43:01Z,Stephen Kerr,Scottish Conservative and Unionist Party,Central Scotland,To ask the Scottish Government what objectives it set for any funding that it has provided to the Scottish Drugs Forum since 2019.,TRUE,drugs,information,
S6W-24546,2024-02-01T00:00:00Z,NA,2024-01-18T16:43:02Z,Ash Regan,Alba Party,Edinburgh Eastern,"To ask the Scottish Government what plans it has to re-introduce the public health supplement for large retailers that sell alcohol, for the purposes of funding drug and alcohol prevention measures.",TRUE,alcohol,information,This question has also been sent to the drugs team.
S6W-24546,2024-02-01T00:00:00Z,NA,2024-01-18T16:43:02Z,Ash Regan,Alba Party,Edinburgh Eastern,"To ask the Scottish Government what plans it has to re-introduce the public health supplement for large retailers that sell alcohol, for the purposes of funding drug and alcohol prevention measures.",TRUE,drugs,information,This question has also been sent to the alcohol team.
S6W-24720,2024-02-02T00:00:00Z,NA,2024-01-19T09:10:49Z,Clare Haughey,Scottish National Party,Rutherglen,To ask the Scottish Government what action it is taking to progress towards the World Health Organization (WHO) target to eliminate cervical cancer by 2030.,TRUE,cancer_adult_screening,review,
S6W-24684,2024-02-02T00:00:00Z,NA,2024-01-19T15:58:29Z,Miles Briggs,Scottish Conservative and Unionist Party,Lothian,"To ask the Scottish Government, regarding the reported failures with paediatric audiology services in NHS Lothian, how many additional affected children have been identified who were not identified in the two audits.",TRUE,preg_birth_child,review,
S6W-24638,2024-02-02T00:00:00Z,NA,2024-01-19T15:58:30Z,Monica Lennon,Scottish Labour,Central Scotland,"To ask the Scottish Government what its response is to reports that local authorities have lost in-house expertise on trees, green infrastructure, biodiversity and nature conservation, and what action it will take to address any workforce and skills pressures in these areas.",TRUE,cph,information,
S6W-24592,2024-02-02T00:00:00Z,NA,2024-01-19T15:58:30Z,Sandesh Gulhane,Scottish Conservative and Unionist Party,Glasgow,To ask the Scottish Government how many sexual health clinics are currently not operating.,TRUE,preg_birth_child,review,This question has also been sent to the Clinical and protecting health team.
S6W-24592,2024-02-02T00:00:00Z,NA,2024-01-19T15:58:30Z,Sandesh Gulhane,Scottish Conservative and Unionist Party,Glasgow,To ask the Scottish Government how many sexual health clinics are currently not operating.,TRUE,cph,review,"This question has also been sent to the Pregnancy, Birth & Child Health team."
S6W-24596,2024-02-02T00:00:00Z,NA,2024-01-19T15:58:30Z,Sandesh Gulhane,Scottish Conservative and Unionist Party,Glasgow,To ask the Scottish Government whether it will provide an update on what time-sensitive targets it has for bringing waiting times for any NHS service into line with relevant standards.,TRUE,waiting_times,review,
S6W-24558,2024-02-02T00:00:00Z,NA,2024-01-19T15:58:31Z,Sue Webber,Scottish Conservative and Unionist Party,Lothian,"To ask the Scottish Government what the outcomes have been of its £270,000 of funding for the provision of prehabilitation through the eight Maggies Centres across Scotland; how many patients have been supported with prehabilitation to date; whether it will provide a breakdown of the different types of cancers that the centres have dealt with, and, in the event that a patient cannot access a Maggies Centre, what provision is in place to ensure that there is equity of care across Scotland.",TRUE,cancer_adult_screening,review,
S6W-24686,2024-02-02T00:00:00Z,NA,2024-01-19T15:58:31Z,Miles Briggs,Scottish Conservative and Unionist Party,Lothian,"To ask the Scottish Government, regarding the reported failures with paediatric audiology services in NHS Lothian, whether additional resources will be provided to meet any unmet needs identified for the affected children.",TRUE,preg_birth_child,information,
S6W-24682,2024-02-02T00:00:00Z,NA,2024-01-19T15:58:31Z,Miles Briggs,Scottish Conservative and Unionist Party,Lothian,"To ask the Scottish Government, regarding the reported failures with paediatric audiology services in NHS Lothian, what action was taken for patients identified in the first and second audits as needing further follow up who did not attend or reply to a letter, and, for every child, whether (a) there was direct contact with their (i) family and (ii) named person or health visitor, (b) their GP was informed and (c) any contact was by a means other than a letter.",TRUE,preg_birth_child,information,
