event_id,expected_answer_date,meeting_date,approved_date,name,party,mp_area,item_text,flag,topic_area,action,notes
S6W-25563,2024-03-14T00:00:00Z,NA,2024-02-15T16:01:52Z,Sandesh Gulhane,Scottish Conservative and Unionist Party,Glasgow,"To ask the Scottish Government whether existing criteria for conducting medical assessments of public sector workers with long COVID, in relation to ill health retirement pension applications, reflect that long COVID clinics do not exist in some areas of Scotland, and, if not, what action it can take to ensure that this is the case.",TRUE,,,
S6W-25573,2024-03-14T00:00:00Z,NA,2024-02-15T16:01:53Z,Douglas Lumsden,Scottish Conservative and Unionist Party,North East Scotland,To ask the Scottish Government how many cases of fabricated or induced illness (FII) have been reported in each NHS board area in each of the last five years.,TRUE,,,
S6W-25574,2024-03-14T00:00:00Z,NA,2024-02-15T16:01:53Z,Stephanie Callaghan,Scottish National Party,Uddingston and Bellshill,"To ask the Scottish Government, in relation to mesh survivors in Scotland, what consideration it has given to The Hughes Report, by thePatient Safety Commissioner for England, which sets out options for redress for those harmed by valproate and pelvic mesh.",TRUE,,,
S6W-25561,2024-03-14T00:00:00Z,NA,2024-02-15T16:01:53Z,Sandesh Gulhane,Scottish Conservative and Unionist Party,Glasgow,"To ask the Scottish Government which agencies or companies are being used by public sector pension scheme agencies, including the Scottish Public Pensions Agency, to conduct medical assessments such as assessments for ill health retirement pension applications, also broken down by the geographical area in which these agencies or companies are located.",TRUE,,,
S6W-25562,2024-03-14T00:00:00Z,NA,2024-02-15T16:01:53Z,Sandesh Gulhane,Scottish Conservative and Unionist Party,Glasgow,To ask the Scottish Government what its response is to reports that long COVID patients in Scotland have been refused ill health retirement pensions because they have not attended a long COVID clinic.,TRUE,,,
S6W-25560,2024-03-14T00:00:00Z,NA,2024-02-15T16:01:53Z,Sandesh Gulhane,Scottish Conservative and Unionist Party,Glasgow,"To ask the Scottish Government whether (a) it and (b) public sector pension agencies, including the Scottish Public Pensions Agency, (i) have taken or (ii) will take steps to ensure that companies or agencies that conduct medical assessments of public sector workers with long COVID are made aware that long COVID clinics do not exist in some areas of Scotland, on the basis that NHS boards make their own arrangements for long COVID treatment, in order to ensure that ill health retirement pension applications are not refused simply due to the lack of attendance at a long COVID clinic.",TRUE,,,
S6W-25590,2024-03-15T00:00:00Z,NA,2024-02-16T15:30:01Z,Roz McCall,Scottish Conservative and Unionist Party,Mid Scotland and Fife,"To ask the Scottish Government what its response is to the recent joint letter from 16 business representative organisations expressing that they were ""dismayed"" at the 2024-25 Budget decision to consider the introduction of a non-business rates public health supplement on grocery retailers and what the proposals might mean for wider devolved tax policy in relation to commerce.",TRUE,,,
S6W-25589,2024-03-15T00:00:00Z,NA,2024-02-16T15:30:01Z,Roz McCall,Scottish Conservative and Unionist Party,Mid Scotland and Fife,"To ask the Scottish Government, in light of the possible introduction of a non-domestic rates public health supplement on retailers as set out in the 2024-25 Budget, whether it is considering allowing each local authority to set its own surtax rate, or whether any surtax rate would be determined by the Scottish Ministers on a Scotland-wide basis.",TRUE,,,
S6W-25500,2024-03-15T00:00:00Z,NA,2024-02-16T15:30:02Z,Alexander Stewart,Scottish Conservative and Unionist Party,Mid Scotland and Fife,"To ask the Scottish Government, following the recent publication of data by the British Heart Foundation, which reportedly highlights significant issues in Scotland’s cardiology services for both outpatient appointments and echocardiograms and suggests that performance against waiting time targets is the worst on record, what urgent measures can be put in place to ensure that no one dies as a result of not receiving the appropriate scan in time.",TRUE,,,
S6W-25575,2024-03-15T00:00:00Z,NA,2024-02-16T15:30:02Z,Douglas Lumsden,Scottish Conservative and Unionist Party,North East Scotland,To ask the Scottish Government what workforce modelling has been carried out regarding an energy policy that has a presumption against any oil and gas exploration.,TRUE,,,
